city_code,city_name,year,gdp,pop,second_share,region
200100,南京,2012,"21,736.9",586,40.2,东部
200100,南京,2013,"23,361.9",590.5,39.9,东部
200100,南京,2014,"25,808.7",592.3,39.6,东部
200100,南京,2015,"27,927.5",594.3,39.3,东部
200100,南京,2016,"29,466.9",595.8,39,东部
200100,南京,2017,"31,558.2",598.6,38.7,东部
200100,南京,2018,"34,305.4",603.2,38.4,东部
200100,南京,2019,"37,311.4",604.7,38.1,东部
200100,南京,2020,"42,232.5",611.2,37.8,东部
200100,南京,2021,"47,112.9",613.6,37.5,东部
200100,南京,2022,"49,881.2",614.2,37.2,东部
200100,南京,2023,"55,669.0",621.5,36.9,东部
200100,南京,2024,"61,738.0",622.1,36.6,东部
200200,无锡,2012,"20,113.7",447.7,43.5,东部
200200,无锡,2013,"21,501.4",450.5,43.2,东部
200200,无锡,2014,"23,528.4",452.4,42.9,东部
200200,无锡,2015,"25,528.3",450.9,42.6,东部
200200,无锡,2016,"27,584.8",450.7,42.3,东部
200200,无锡,2017,"29,362.6",452.6,42,东部
200200,无锡,2018,"30,870.9",455.2,41.7,东部
200200,无锡,2019,"33,025.1",458.8,41.4,东部
200200,无锡,2020,"33,964.1",461.9,41.1,东部
200200,无锡,2021,"37,560.0",462.7,40.8,东部
200200,无锡,2022,"40,794.8",465.3,40.5,东部
200200,无锡,2023,"42,786.2",466.9,40.2,东部
200200,无锡,2024,"45,716.9",471,39.9,东部
200300,徐州,2012,"46,243.3",522.9,38.6,东部
200300,徐州,2013,"49,621.6",525.2,38.3,东部
200300,徐州,2014,"52,707.7",525.7,38,东部
200300,徐州,2015,"55,637.4",528.3,37.7,东部
200300,徐州,2016,"58,273.6",527.7,37.4,东部
200300,徐州,2017,"63,848.3",529.7,37.1,东部
200300,徐州,2018,"68,443.6",533,36.8,东部
200300,徐州,2019,"73,540.6",535,36.5,东部
200300,徐州,2020,"79,596.2",535.6,36.2,东部
200300,徐州,2021,"87,436.0",538,35.9,东部
200300,徐州,2022,"96,141.9",540.9,35.6,东部
200300,徐州,2023,"98,730.5",543.1,35.3,东部
200300,徐州,2024,"104,640.0",545.8,35,东部
200400,常州,2012,"12,277.8",534,38.7,东部
200400,常州,2013,"13,312.8",537.1,38.4,东部
200400,常州,2014,"14,393.3",536.8,38.1,东部
200400,常州,2015,"14,902.4",542.9,37.8,东部
200400,常州,2016,"15,779.1",546.5,37.5,东部
200400,常州,2017,"16,450.9",550.6,37.2,东部
200400,常州,2018,"17,722.5",555.3,36.9,东部
200400,常州,2019,"19,011.6",556.1,36.6,东部
200400,常州,2020,"19,734.1",560.4,36.3,东部
200400,常州,2021,"21,536.0",565.7,36,东部
200400,常州,2022,"22,994.4",567.9,35.7,东部
200400,常州,2023,"24,099.5",570.5,35.4,东部
200400,常州,2024,"25,416.1",574,35.1,东部
200500,苏州,2012,"124,326.4",472.6,41,东部
200500,苏州,2013,"131,999.7",476.4,40.7,东部
200500,苏州,2014,"140,057.0",477.1,40.4,东部
200500,苏州,2015,"149,660.5",479.5,40.1,东部
200500,苏州,2016,"158,189.1",481.2,39.8,东部
200500,苏州,2017,"168,447.8",484,39.5,东部
200500,苏州,2018,"184,818.4",488.5,39.2,东部
200500,苏州,2019,"194,677.0",491.9,38.9,东部
200500,苏州,2020,"207,924.5",494.2,38.6,东部
200500,苏州,2021,"225,703.7",499.7,38.3,东部
200500,苏州,2022,"242,865.4",502.2,38,东部
200500,苏州,2023,"260,001.5",504.6,37.7,东部
200500,苏州,2024,"286,281.4",506.9,37.4,东部
200600,南通,2012,"44,446.8",474.8,38.1,东部
200600,南通,2013,"47,661.9",477.7,37.8,东部
200600,南通,2014,"50,456.3",479.7,37.5,东部
200600,南通,2015,"55,408.5",482.7,37.2,东部
200600,南通,2016,"59,538.4",484.5,36.9,东部
200600,南通,2017,"62,922.6",488.2,36.6,东部
200600,南通,2018,"66,735.2",489.2,36.3,东部
200600,南通,2019,"73,137.7",490.6,36,东部
200600,南通,2020,"78,252.0",495.5,35.7,东部
200600,南通,2021,"85,324.2",499.3,35.4,东部
200600,南通,2022,"91,721.9",500,35.1,东部
200600,南通,2023,"98,359.1",501.9,34.8,东部
200600,南通,2024,"105,676.6",504.9,34.5,东部
200700,连云港,2012,"25,859.5",719.3,58.1,东部
200700,连云港,2013,"28,807.5",721.1,57.8,东部
200700,连云港,2014,"31,170.3",723.2,57.5,东部
200700,连云港,2015,"32,913.9",728.8,57.2,东部
200700,连云港,2016,"35,026.4",733.4,56.9,东部
200700,连云港,2017,"36,756.6",735,56.6,东部
200700,连云港,2018,"39,720.4",744.4,56.3,东部
200700,连云港,2019,"42,516.8",747.5,56,东部
200700,连云港,2020,"45,145.6",749.7,55.7,东部
200700,连云港,2021,"50,029.7",756.2,55.4,东部
200700,连云港,2022,"54,784.1",755.7,55.1,东部
200700,连云港,2023,"58,985.9",757.9,54.8,东部
200700,连云港,2024,"63,487.7",758.9,54.5,东部
200800,淮安,2012,"24,647.8",477.5,41.4,东部
200800,淮安,2013,"27,731.2",480.3,41.1,东部
200800,淮安,2014,"30,821.8",482.6,40.8,东部
200800,淮安,2015,"32,415.8",485.2,40.5,东部
200800,淮安,2016,"34,077.2",488.6,40.2,东部
200800,淮安,2017,"34,805.8",490.5,39.9,东部
200800,淮安,2018,"38,427.9",493.7,39.6,东部
200800,淮安,2019,"41,128.6",497.7,39.3,东部
200800,淮安,2020,"43,639.0",498.7,39,东部
200800,淮安,2021,"47,258.6",501,38.7,东部
200800,淮安,2022,"50,836.9",502.5,38.4,东部
200800,淮安,2023,"56,579.3",506.9,38.1,东部
200800,淮安,2024,"59,120.9",504,37.8,东部
200900,盐城,2012,"25,481.6",272.5,47.2,东部
200900,盐城,2013,"27,342.9",273.4,46.9,东部
200900,盐城,2014,"28,764.3",274.5,46.6,东部
200900,盐城,2015,"31,840.4",274.8,46.3,东部
200900,盐城,2016,"32,895.8",276.2,46,东部
200900,盐城,2017,"36,398.0",276.2,45.7,东部
200900,盐城,2018,"37,792.4",277.2,45.4,东部
200900,盐城,2019,"39,707.0",278.9,45.1,东部
200900,盐城,2020,"43,597.2",278.9,44.8,东部
200900,盐城,2021,"48,011.8",279.8,44.5,东部
200900,盐城,2022,"53,190.1",282,44.2,东部
200900,盐城,2023,"56,516.9",282.6,43.9,东部
200900,盐城,2024,"60,851.2",285.7,43.6,东部
201000,扬州,2012,"72,389.0",305.8,37.5,东部
201000,扬州,2013,"77,390.3",308.5,37.2,东部
201000,扬州,2014,"82,451.1",311.5,36.9,东部
201000,扬州,2015,"89,771.1",312.3,36.6,东部
201000,扬州,2016,"96,820.5",313.1,36.3,东部
201000,扬州,2017,"102,728.3",314.4,36,东部
201000,扬州,2018,"111,867.0",315.5,35.7,东部
201000,扬州,2019,"122,447.8",316.3,35.4,东部
201000,扬州,2020,"129,355.5",317.7,35.1,东部
201000,扬州,2021,"140,219.6",319.5,34.8,东部
201000,扬州,2022,"150,948.2",319.4,34.5,东部
201000,扬州,2023,"156,624.1",320.2,34.2,东部
201000,扬州,2024,"170,306.1",322.9,33.9,东部
201100,镇江,2012,"108,150.0",169.4,54.2,东部
201100,镇江,2013,"112,114.0",169.9,53.9,东部
201100,镇江,2014,"120,428.2",171.1,NA,东部
201100,镇江,2015,"131,072.8",172,53.3,东部
201100,镇江,2016,"135,168.4",173.1,53,东部
201100,镇江,2017,"143,338.4",174.4,52.7,东部
201100,镇江,2018,"156,418.7",174.5,52.4,东部
201100,镇江,2019,"164,081.9",176,52.1,东部
201100,镇江,2020,"170,451.9",176.7,51.8,东部
201100,镇江,2021,"181,270.7",177.3,51.5,东部
201100,镇江,2022,"197,203.9",178.7,51.2,东部
201100,镇江,2023,"208,874.6",180.1,50.9,东部
201100,镇江,2024,"225,510.2",181.7,50.6,东部
201200,泰州,2012,"15,431.3",415.2,48.9,东部
201200,泰州,2013,"16,970.6",417.3,48.6,东部
201200,泰州,2014,"18,357.0",420.3,48.3,东部
201200,泰州,2015,"19,750.5",418.7,48,东部
201200,泰州,2016,"21,470.0",420.1,47.7,东部
201200,泰州,2017,"23,207.2",421,47.4,东部
201200,泰州,2018,"25,052.7",424.7,47.1,东部
201200,泰州,2019,"26,400.9",427.5,46.8,东部
201200,泰州,2020,"28,693.5",428.2,46.5,东部
201200,泰州,2021,"30,910.6",432.1,46.2,东部
201200,泰州,2022,"33,390.1",435.1,45.9,东部
201200,泰州,2023,"35,964.4",436.8,45.6,东部
201200,泰州,2024,"38,850.3",440.4,45.3,东部
201300,宿迁,2012,"61,228.8",316.6,32.8,东部
201300,宿迁,2013,"65,568.8",317.3,32.5,东部
201300,宿迁,2014,"70,097.1",319.3,32.2,东部
201300,宿迁,2015,"76,124.3",321.1,31.9,东部
201300,宿迁,2016,"77,430.4",322.4,31.6,东部
201300,宿迁,2017,"80,081.9",324.8,31.3,东部
201300,宿迁,2018,"86,599.3",326.6,31,东部
201300,宿迁,2019,"92,850.5",326.9,30.7,东部
201300,宿迁,2020,"100,342.8",326.6,30.4,东部
